manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
קיה,2014,אופטימה / Optima,2,אוטומטית,2000,בנזין,פרטית,פרטית,גליל ועמקים,שפרעם,32,7,29/03/2024,04/04/2024,"⚜ רכב אלעלאא שפרעם ⚜ ◽ סיג : קיה אופטימה (פנורמה) ◽שנת : 2014 ◽מנוע : 2000 ◽ יד : 02 פרטי ◽ ק""מ : 190,250 ◽ רכב חדש חדש ◽ אפשרות מימון עד 100% 👈 רכבים שמורים מאוד מתחייבים בבדקה ..👌 ------------------------------------------- נייד : 0508948223/0525050520 טל : 049585522 WhahtsApp: 050-894-8223 מיקום : רכב אלעלאא שפרעם חדש תוספות גג נפתח , מגניזום , מצלמת רוורס",לבן,190250,,0
קיה,2012,פיקנטו,1,אוטומטית,1200,בנזין,פרטית,פרטית,תל אביב,תל אביב יפו,29000,5,27/07/2023,27/07/2023,"הנחה גדולה! 5000 ש""ח פחות מהמחירון! הכל עובד פיקס! במרץ עברה טיפול 10,000.הוחלף פילטר למזגן. טסט עד מרץ 24. הגגון לא נשאר. 146,000 ק""מ. דיבורית bluetooth לשיחות טלפון בשמחה לעשות בדיקה. נמצא בת""א ליד תחנת רכבת ארולוזורב. תוספות bluetooth דיבורית, מתקן לטלפון",שחור,146000,,4
קיה,2012,פיקנטו,4,אוטומטית,1200,בנזין,פרטית,פרטית,עמק יזרעאל,מגדל העמק,30000,2,13/07/2023,13/07/2023,"אוטו שמור , קמ נמוך , לא בשבת תוספות מולטימדיה לרכב",אפור מטאלי,136000,,4
קיה,2016,סיד,3,אוטומטית,1600,בנזין,ליסינג,פרטית,מודיעין והסביבה,מודיעין עילית,31500,2,06/07/2023,10/07/2023,"רכב מעולה, חסכוני ורחב, באגז' ענק, כולל חיישני רוורס+מצלמת רוורס, מולטימדיה מקורית של קיה, הוחלף כעת מצבר חדש וממיר קטליטי חדש, טופל כל השנים אך ורק במוסך מורשה, נמכר כעת עקב חוסר במזומנים על כן תיתכן אפשרות של החלפה מול רכב במחיר יותר זול (10-15K).",לבן פנינה,165400,,23
קיה,2015,פיקנטו,2,אוטומטית,1300,בנזין,ליסינג,פרטית,מושבים בשרון,אביחיל,35000,4,19/06/2023,19/06/2023,רכב שמור מאוד ללא תאונות,תכלת,108000,,20
קיה,2012,פיקנטו,3,אוטומטית,1200,בנזין,פרטית,פרטית,רמת השרון - הרצליה,הרצליה,32000,5,10/06/2023,10/06/2023,קיה פיקנטו אוטומטי שנת 2012 יד 02 ברישיון שמורה ומטופלת היטב נוסעת כמו חדשה (נהגת יחידה). טסט עד ינואר 2024 גמיש לפרטים נוספים צרו קשר,ירוק בהיר,176000,,4
קיה,2016,נירו,2,אוטומטית,1400,בנזין,ליסינג,פרטית,רמת השרון - הרצליה,הרצליה,36000,6,29/05/2023,01/06/2023,"למכירה קיה ריו הצ'בק 2016 יד 2 נפח 1400 קילומטרז 145,000 כולל 4 צמיגים חדשים כולל מערכת מולטימדיה כולל מצבר חדש לפנות בפרטי רק רציניים ! תוספות מולטימדיה תואם מקור",שחור,145000,,1
קיה,2012,פיקנטו,1,אוטומטית,1200,בנזין,פרטית,פרטית,תל אביב,תל אביב יפו,34000,2,31/05/2023,31/05/2023,"יד ראשונה, מצב מצוין. שום בעיה מכנית איתו. טיפולים תמיד נעשו בזמן. מוכרים מפני שקיבלנו מכונית במתנה.",שחור,146000,,4
קיה,2011,סיד,5,אוטומטית,1600,בנזין,השכרה,פרטית,בית שמש והסביבה,בית שמש,17000,5,17/05/2023,17/05/2023,"רכב מומלץ מחירון 22900 מצב מצויין תקין לחלוטין טסט עד אוקטובר 23 מצבר שנפ חדש בינואר טיפול שמנים נעשה באפריל 23 קילומטר315000 נוסע מצויין ,מיזוג קירור חימום תקין צמיגים 4 חדשים ,בגאז ענק. בעיר בית שמש תוספות חיישן רוורס",אפור מטאלי,315000,,13
קיה,2014,פיקנטו,3,אוטומטית,1200,בנזין,פרטית,פרטית,עמק יזרעאל,מגדל העמק,43000,4,04/05/2022,26/03/2023,"למכירה קיה פיקנטו דגם ספורט EX מפואר! שנת 2014 יד 02 ברישיון פרטית ק""מ 118,000 מנוע 1250 כ""ס 85 סאן-רוף טסט עד 04/23, לאחר טיפול, הוחלפו 4 צמיגים חדשים מקוריים, מסך מולטימדיה חדש, 3 מצלמות רכב. ללא תאונות בכלל וללא תיקוני צבע!",לבן,130000,,14
קיה,2014,פיקנטו,3,אוטומטית,1200,בנזין,פרטית,פרטית,עמק יזרעאל,מגדל העמק,43000,5,24/03/2023,26/03/2023,"הדגם המפואר הכולל תאורת לד , שליטה מלאה מההגה, מולטימדיה אנדרואיד סנרוף. שנת 2014 יד 02 ברישיון נסע 130,000 שמורה במצב מצוין ללא תאונות ללא תיקוני פח ללא תיקונים",לבן,130000,,14
קיה,2016,,2,אוטומטית,1200,בנזין,פרטית,פרטית,בקעת אונו,יהוד מונוסון,,6,16/01/2023,16/01/2023,,לבן,78000,,0
קיה,2016,נירו,1,אוטומטית,1600,בנזין,אחר,פרטית,,נווה אור,68000,3,23/12/2022,23/12/2022,"קיה ספורטאג' אורבן. במצב מעולה! רכב מטופל ושמור. תוספות מערכת מולטימדיה, מיגון תחתון.",לבן,179000,,1
קיה,2016,פיקנטו,2,אוטומטית,1250,בנזין,,,ירושלים והסביבה,מעלה אדומים,46000,1,02/11/2022,02/11/2022,קיה פיקנטו 2016 במצב מעולה טסט עד ינואר 86 אלף קילומטר ! כולל מולמטידה מצלמת רוורס גלגלים חדשים הרכב עבר טיפול גדול להניע ולנסוע! מחיר 46 אלף שח גמיש במעמד הקניה 0508513211 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מולטימדיה,,860000,,24
קיה,2008,קרניבל,3,אוטומטית,2700,בנזין,,,תל אביב,תל אביב יפו,15000,1,02/11/2022,02/11/2022,"במצב מכני טוב, 10 שנים אצלי",,330000,,8
קיה,2014,פיקנטו,1,אוטומטית,1248,בנזין,,,ראש העין והסביבה,ראש העין,44000,1,02/11/2022,02/11/2022,"שמור מאוד, מטופל במוסך קיה מורשה, נמכר עקב טיסה לחו""ל.",,79000,,14
קיה,2013,פיקנטו,2,אוטומטית,1200,בנזין,,,חיפה וחוף הכרמל,נשר,,1,27/10/2022,27/10/2022,"1 ימים · מוכרים את הפיקנטית שלנו ( עקב התרחבות המשפחה) קיה פיקנטו הדגם המפואר מצב מעולה, שמורה בקנאות בית עבודה, מצב מכני חדש, טיפולים בזמן כולל טסט לשנה, אוטומט מנוע 1200, 146 אלף קילומטר. מחירון 36, מבקשים 33, גמישים לרציניים בלבד כל הקודם זוכה ! לפרטים",,146,,11
קיה,2010,ריו,3,אוטומטית,1400,בנזין,,,עמק יזרעאל,עפולה,23500,1,25/10/2022,25/10/2022,"קיה ריאו 2010?? 180,000 קמ?? מכנית טובה מאוד?? מזגן מקפיא?? בלי שריטה על האוטו?? גיר,שמן,מנוע,מצטבר,הכל תקין?? שמורה ומטופלת?? רציינים בלבד! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימדיה חדשה מהחברה",,180000,,6
קיה,2014,פורטה,3,אוטומטית,1591,בנזין,,,אשדוד - אשקלון,אשקלון,39000,1,24/10/2022,24/10/2022,"איבזור גבוהה לרכב לשנה זו מטופל רק במוסך מורשה , שאסי נקי מכני מצויין &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מובילאיי",,162000,,9
קיה,2015,פיקנטו,2,אוטומטית,1248,בנזין,,,ירושלים והסביבה,ירושלים,53000,1,23/10/2022,23/10/2022,"למכירה קיה פיקנטו אדומה יפיפיה 52,400 ק""מ רכב שמור מטופל בזמן עבר טסט לפני שלושה חודשים ולאחר טיפול שנתי לפני 4 חודשים נהגת יחידה רכב שמור",,52400,,20
קיה,2016,פיקנטו,2,אוטומטית,1250,בנזין,,,בקעת אונו,קרית אונו,47000,1,21/10/2022,21/10/2022,"קיה פיקנטו חדשה למכירה שנה - 2016 יד - 2 טסט - 2023 ק״מ 77,000 צבע - לבן ללא תאונות שמורה ומטופלת",,77000,,24
קיה,2015,פיקנטו,2,אוטומטית,1248,בנזין,,,,jeruslem,53000,1,20/10/2022,20/10/2022,"למכירה קיה פיקנטו אדומה יפיפיה 52,400 ק""מ רכב שמור מטופל בזמן עבר טסט לפני שלושה חודשים ולאחר טיפול שנתי לפני 4 חודשים נהגת יחידה רכב שמור",,52400,,20
קיה,2014,פיקנטו,1,ידנית,1000,בנזין,,,,נגבה,23200,1,19/10/2022,19/10/2022,יד ראשונה מפרטי. נמכרת בשל סיום לימודים ומעבר לרכב חברה. מטופלת כמו שעון. במצב מעולה!!,,190000,,14
קיה,2009,פורטה,3,אוטומטית,1600,בנזין,,,בקעת אונו,ברקת,21000,1,17/10/2022,17/10/2022,"מכירה קיה פורטה 2009 דגםEX במצב מצויין ! יד 3 פרטית 170 אלף ק""מ דיבורית בלוטוס+חיישני רוורס מטופל בזמן ושמור. *נמכר עקב קבלת רכב מהעבודה* מחיר: 21 אלף ש""ח(גמיש קצת לרציניים) נאור 0535231512",,170000,,2
קיה,2012,,1,אוטומטית,1600,בנזין,,,גדרה יבנה והסביבה,יבנה,,1,15/10/2022,15/10/2022,,,215000,,0
קיה,2013,פיקנטו,4,אוטומטית,1250,בנזין,,,מושבים בשרון,תנובות,34000,1,13/10/2022,13/10/2022,אוטו מצויין נוסע מעולה ללא תקלות עם טסט לאוטו אין שריטה אפילו &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מסך מולטימדיה גדול עם מצלמת רוורס וחיישני רוורס,,,,11
קיה,2015,פיקנטו,1,ידנית,1250,בנזין,,,,בית גאן,310000,1,08/10/2022,08/10/2022,הרכב מאוד שמור.,,117,,20
קיה,2013,פיקנטו,4,ידנית,1000,בנזין,,,בית שמש והסביבה,בית שמש,23000,1,07/10/2022,07/10/2022,"קיה פיקנטו ידנית מנוע 1.0 שנת 2013 נהג יחיד טסט לשנה מלאה צמיגים חדשים אחרי טיפול גדול רכב שמור מאוד ומטופל , ללא תאונות/מכות. חסכוני מאוד. יד רביעית. 76000 קמ בלבד. מתחייב גיר מנוע שלדה.",,76000,,11
קיה,2015,פיקנטו,3,אוטומטית,1300,בנזין,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,43000,4,05/10/2022,05/10/2022,רכב שמור ומטופל מתחייב בבדיקה! לרציניים בלבד לא לסוחרים,שחור,76000,,20
קיה,2015,פיקנטו,1,אוטומטית,1248,בנזין,,,,(קרית חיים (חיפה),46000,1,03/10/2022,03/10/2022,רכב של פנסיונר מאוד שמור ומטופל ללא תאונות,,59000,,20
קיה,2016,פיקנטו,1,אוטומטית,1250,בנזין,,,אילת והערבה,אילת,53000,1,02/10/2022,02/10/2022,עלה לכביש ב9.2016 גג נפתח מקורי. גאנטים מגנזיום אחריות יצרן עד 9.2023 למנוע ולתיבת הילוכים,,66000,,24
קיה,2013,פיקנטו,3,אוטומטית,13,בנזין,,,חיפה וחוף הכרמל,נשר,36000,1,30/09/2022,30/09/2022,שמור ונקי גמישה לרציניים בלבד טסט עד פבואר &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; יש מערכת מוטלימדיה,,122100,,11
קיה,2015,פיקנטו,2,אוטומטית,1200,בנזין,,,חיפה וחוף הכרמל,חיפה,45000,1,28/09/2022,28/09/2022,"רכב שמור. מצבר חדש, 4 גלגלים חדשים. מטופל במוסך מורשה. טסט בעוד 11 חודשים. שמור מאד &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מוליטימדיה, חיישני רוורס, מצלמת רוורס",,96000,,20
קיה,2014,פיקנטו,1,ידנית,1000,בנזין,,,,תל אב,22000,1,28/09/2022,28/09/2022,שמור ביותר במצב מעולה. מנוע חדש!!!,,180,,14
קיה,2014,סראטו,1,טיפטרוניק,2400,בנזין,,,רמת השרון - הרצליה,הרצליה,69000,1,26/09/2022,26/09/2022,"שמורה, מטופלת ,מצ""ב מצוין",,125000,,0
קיה,2014,ריו,2,אוטומטית,1400,בנזין,,,נס ציונה - רחובות,רחובות,31900,1,23/09/2022,23/09/2022,הרכב שמור ומטופל בזמן . שמחה-0548305466 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; יש ברכב מערכת מוליטימדיה וחיישני רוורס. טסט לשנה.,,167000,,17
קיה,2015,סראטו,2,אוטומטית,2359,בנזין,,,,טייבה,90000,1,21/09/2022,21/09/2022,"רכב שמור ,פרטי",,121,,0
קיה,2014,פיקנטו,3,אוטומטית,1250,בנזין,,,"ראשל""צ והסביבה",ראשון לציון,40000,1,19/09/2022,19/09/2022,קיה פיקנטו שנת 2014 שמורה! עברה טיפול לא מזמן. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימדיה יש וואיז יוטיוב,,87000,,14
קיה,2008,קרניבל,2,אוטומטית,2700,בנזין,,,רמת השרון - הרצליה,הרצליה,20000,1,16/09/2022,16/09/2022,"מפרטי ! רכב נוסע בצורה חלקה ללא תקלות. פחות מ-200K ק""מ. מכות פח בדלת ימין , שריטות בדלת שמאל ועל כן נמכר במחיר הזה - מחיר ללא משא ומתן !",,194000,,8
קיה,2015,,2,אוטומטית,1591,בנזין,,,אילת והערבה,אילת,,1,15/09/2022,15/09/2022,,,137200,,0
קיה,2015,פורטה,2,אוטומטית,1600,בנזין,,,חולון - בת ים,חולון,58000,1,15/09/2022,15/09/2022,קאיה ספוטאז' מטופלת ושמורה,,140000,,6
קיה,2015,פיקנטו,3,אוטומטית,1248,בנזין,,,ראש העין והסביבה,ראש העין,39200,1,14/09/2022,14/09/2022,"בובה של רכב, מוכרת עקב נסיעה לחו״ל רכב מצויין, לא עבר טיפולי שלדה, לא רואה מוסך רכב אמין וחסכוני יש מעט שריטות אפשר לראות בתמונות גמישים יש מעט שריטות ומכת פח קטנה רואים בתמונות &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מולטימדיה מערכת שמע חדשה בבגאז( לא תופס מקום) מצלמת שיאומי דרך בלוטוס",,10277,,20
קיה,2015,פיקנטו,4,אוטומטית,1248,בנזין,,,ראש העין והסביבה,ראש העין,39290,1,13/09/2022,13/09/2022,"בובה של רכב, מוכרת עקב נסיעה לחו״ל יש מעט שריטות ומכות פח לא קריטיות, ניתן לראות בתמונות לללא עבר של טיפולי שלדה או החלפת גיר.. לא רואה מוסך חסכוני ואמין רכב מצויין בהבטחה גמישים לרציניים בלבד! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מצלמת שיומי מחוברת לטלפון דרך בלוטוס, מערכת מולטימדיה סינית מערכת שמע חדשה עם רמקולים שלא תופסים מקום בבגאז׳.",,102550,,20
קיה,2010,קרניבל,2,אוטומטית,2700,בנזין,,,תל אביב,תל אביב יפו,31000,1,12/09/2022,12/09/2022,"רכב שמור בקפדנות עבר במשפחה יד 1 לרכב יש מלא תוספות מסך מדייה 10 אינץ עם שלט מדרכות צד ציפויים פנסי לד קפיצים שלי koni בולמים של רארג' עבר הגבעה מאושרת ברישיון 5 סנטים רכב חתיך אני עובד בפוליש למכוניות אז הרכב עובר כול חודש ציפוי ננו קרמי פוליש בפנים הרכב בתוך לא מעשנים הרכב מטופל קבוע לאחר 4 גלגלים חדשים ורצועה ופילטרים יש קבלות הכול מתועד מוסך המרכזי &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; 4×4 יד 02 ק""מ 160 אלף מטופל היטב קיה ספורטז סוף 2010 דגם הכי אחרון בישראל",,160000,,2
קיה,2012,ריו,2,אוטומטית,1400,בנזין,,,ירושלים והסביבה,ירושלים,17000,1,07/09/2022,07/09/2022,רכב שמור . במצב מצויין .. טסט למרץ 2023 גמיש לרצינים,,202200,,9
קיה,2016,סראטו,1,אוטומטית,2400,בנזין,,,רעננה - כפר סבא,כוכב יאיר,100000,1,30/08/2022,30/08/2022,"7 מושבים מוכן לבדיקה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימידיה מגע מערכת הגברה , רמקולים",,91000,,0
קיה,2015,סראטו,2,אוטומטית,1600,בנזין,,,מושבים במרכז,בית עוזיאל,65000,1,30/08/2022,30/08/2022,מצב האוטו מצוין טסט ל 9 חודשים. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; תוספת של מערכת מולטימדיה,,152000,,0
קיה,2015,פיקנטו,2,אוטומטית,1248,בנזין,,,,"גבעת כ""ח",35000,1,29/08/2022,29/08/2022,"נהגת יחידה. טיפולים בזמן, מצ""ב מכני מצויין. טסט עד יולי 2023. נמכר עקב קבלת רכב מהעבודה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; תוספת של צג מולטימדיה חדש.",,91800,,20
קיה,2016,פיקנטו,1,אוטומטית,1250,בנזין,,,פתח תקוה והסביבה,פתח תקווה,51500,1,24/08/2022,24/08/2022,"רכב שמור מאוד עבר את כל הטיפולים וללא תאונות &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חישוקי מגנזיום מקוריים מהחברה, חלון גג, מערכת מובילאיי",,,,24
קיה,2011,קרניבל,2,אוטומטית,2700,בנזין,,,רמת גן - גבעתיים,בני ברק,55000,1,24/08/2022,24/08/2022,רכב קיה קרניבל 2011 נסע על 81000 קילומטר היה של נכה צריך לחבר שתי כיסאות פנס אחד קדמי שבור צריך לתקן,,81000,,2
קיה,2010,קרניבל,3,אוטומטית,2900,דיזל,,,תל אביב,תל אביב יפו,22000,1,15/08/2022,15/08/2022,רכב במצב מעולה ללא תאונות שמורה יפה מאוד מבפנים וגם מבחוץ הוחלף מנוע לפני שנתיים מנוע במצב מעולה,,226000,,2
קיה,2016,פיקנטו,1,אוטומטית,1250,בנזין,,,פתח תקוה והסביבה,פתח תקווה,55000,1,14/08/2022,14/08/2022,"שמור , חדש",,21000,,24
קיה,2010,קרניבל,3,אוטומטית,2900,דיזל,פרטית,פרטית,תל אביב,תל אביב יפו,22000,4,14/08/2022,14/08/2022,רכב במצב מעולה ללא תאונות שמורה יפה מאוד מבפנים וגם מבחוץ הוחלף מנוע לפני שנתיים מנוע במצב מעולה,כסוף מטאלי,226000,,2
קיה,2015,פיקנטו,2,אוטומטית,1248,בנזין,,,אילת והערבה,אילת,30000,1,13/08/2022,13/08/2022,"רכב שמור ,מטופל . טסט עד 02/23",,,,20
קיה,2016,ריו,3,אוטומטית,1400,בנזין,,,,כפר מצר,35000,1,13/08/2022,13/08/2022,רכב שמור מטופל במוסך מורשה לא חסר בורג טסט לחודש 4/23 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת אנדרויד ומצלמת רוורס,,200,,15
קיה,2011,פורטה,2,אוטומטית,1600,בנזין,,,נתניה והסביבה,נתניה,21000,1,12/08/2022,12/08/2022,הרכב במצב שמור ומטופל. 4 דלתות ל-5 יושבים. תא מטען גדול. ליצור קשר עם דן.,,,,4
קיה,2012,,3,אוטומטית,1400,בנזין,,,,מג'ד אל-כרום,,1,08/08/2022,08/08/2022,,,160000,,0
קיה,2015,פיקנטו,3,אוטומטית,1200,בנזין,,,עמק יזרעאל,מגדל העמק,4000,1,07/08/2022,07/08/2022,רכב שמור נהגת יחידה,,130,,20
קיה,2015,פיקנטו,2,אוטומטית,1248,בנזין,,,,נהרייה,41000,1,02/08/2022,02/08/2022,רכב שמור פרטי מטופל ללא תאונה,,93000,,20
קיה,2016,אופטימה / Optima,1,אוטומטית,1600,בנזין,,,גליל ועמקים,נצרת,100000,1,31/07/2022,31/07/2022,"חדש בתצוגה ???? ג״פ קייה ספורטאז דגם: הכי מפואר premium GT נפח :1.6 (כ״ס177) שנת:2016 יד:01 פרטית ?? ק״ם :144,000 מטופל בחברה אוטו חדש ללא תיקון צבע מתחיב בבדיקה ? אפשרות למימון 100% ??0537550405 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; וו גרירה",,145,,0
קיה,2013,פיקנטו,2,אוטומטית,1248,בנזין,,,פתח תקוה והסביבה,פתח תקווה,32500,1,30/07/2022,30/07/2022,"קיה פיקנטו, מודל 2013 רכב שמור (עם טיפולים מסודרים) טסט עד אפריל שנה הבאה. יד ראשונה היה השכרה/החכר (של הרץ). קניתי אותו שמור והבדיקה הכללית הייתה מצויינת. הוחלפו בשנה שעברה 4 צמיגים מקוריים. מולא גז מזגן לאחרונה, חשמל של חלונות הרכב (כולל פיקוד) - הוחלף בשנה שעברה. מצבר חדש - 21/22. * נא לא להתקשר בשבת * גמיש במידה ואני רואה שניתן להתקדם.",,175000,,11
קיה,2012,,2,ידנית,1000,בנזין,,,רמלה - לוד,רמלה,,1,25/07/2022,25/07/2022,,,190000,,0
קיה,2012,,2,ידנית,1000,בנזין,פרטית,פרטית,רמלה - לוד,רמלה,,5,24/07/2022,24/07/2022,,בז',,,0
